ID	6001
NAME	PSYCHIC-Nasi
ELO	1797.707890
					  W6  W5  W4  W3  W2  W1   D  L1  L2  L3  L4  L5  L6
	Total				   6  12   4   4   3   0   0   2   3   2  11  25  18
1001	GRASS-DrainVenu                    2   1   1   0   0   0   0   0   0   1   2   1   2
1002	GRASS-GoldBok                      0   2   1   0   0   0   0   0   0   0   0   2   0
1003	GRASS-NidoKing                     0   2   0   1   0   0   0   0   0   1   1   0   0
2001	FIRE-Ninetail                      0   0   0   0   0   0   0   0   0   0   1   4   0
2002	FIRE-Charizard                     0   0   0   0   0   0   0   0   0   0   3   4   3
2003	FIRE-Windy                         0   0   0   0   0   0   0   0   0   0   0   0   0
3001	WATER-EnergyBurn                   0   2   1   0   0   0   0   0   0   0   1   3   3
3002	WATER-Blast                        0   0   0   0   0   0   0   0   0   0   0   1   4
4001	LIGHTNING-Zapdo                    0   1   0   1   0   0   0   0   0   0   1   2   0
4002	LIGHTNING-Chain                    0   1   0   0   1   0   0   0   0   0   0   2   1
5001	FIGHT-Monkey                       2   1   0   0   1   0   0   0   1   0   0   3   2
5002	FIGHT-Wiggle                       0   1   1   0   0   0   0   2   2   0   2   2   0
5003	FIGHT-Bone                         2   1   0   0   0   0   0   0   0   0   0   0   2
6002	PSYCHIC-Slowbro                    0   0   0   2   1   0   0   0   0   0   0   1   1
6003	PSYCHIC-Abra                       0   0   0   0   0   0   0   0   0   0   0   0   0
