ID	1003
NAME	GRASS-NidoKing
ELO	1905.322858
					  W6  W5  W4  W3  W2  W1   D  L1  L2  L3  L4  L5  L6
	Total				   5   8   9   5   3   1   0   2   1   3   3  19  16
1001	GRASS-DrainVenu                    0   0   2   0   0   0   0   0   0   0   0   1   2
1002	GRASS-GoldBok                      0   1   2   0   1   0   0   0   0   1   0   0   0
2001	FIRE-Ninetail                      0   0   0   0   0   0   0   1   1   0   1   1   1
2002	FIRE-Charizard                     0   2   0   0   0   0   0   1   0   0   0   1   1
2003	FIRE-Windy                         0   0   0   0   0   0   0   0   0   0   0   3   2
3001	WATER-EnergyBurn                   1   2   0   1   0   0   0   0   0   0   0   1   0
3002	WATER-Blast                        0   1   0   0   1   0   0   0   0   0   1   1   1
4001	LIGHTNING-Zapdo                    0   0   2   0   0   0   0   0   0   0   1   2   0
4002	LIGHTNING-Chain                    1   0   0   0   0   0   0   0   0   0   0   4   0
5001	FIGHT-Monkey                       1   0   1   0   0   0   0   0   0   0   0   1   2
5002	FIGHT-Wiggle                       0   1   0   0   0   0   0   0   0   1   0   0   3
5003	FIGHT-Bone                         1   0   1   0   0   0   0   0   0   0   0   1   2
6001	PSYCHIC-Nasi                       0   0   1   1   0   0   0   0   0   1   0   2   0
6002	PSYCHIC-Slowbro                    1   0   0   3   0   0   0   0   0   0   0   0   1
6003	PSYCHIC-Abra                       0   1   0   0   1   1   0   0   0   0   0   1   1
