ID	1001
NAME	GRASS-DrainVenu
ELO	1910.620540
					  W6  W5  W4  W3  W2  W1   D  L1  L2  L3  L4  L5  L6
	Total				  18  11  11   3   2   2   0   1   1   7  10  21  24
1002	GRASS-GoldBok                      2   1   1   0   1   0   0   0   1   0   0   3   1
1003	GRASS-NidoKing                     2   1   0   0   0   0   0   0   0   0   2   0   0
2001	FIRE-Ninetail                      0   1   1   0   0   0   0   0   0   0   1   3   4
2002	FIRE-Charizard                     2   1   1   0   0   0   0   0   0   1   3   1   2
2003	FIRE-Windy                         0   0   0   0   0   0   0   0   0   0   0   4   1
3001	WATER-EnergyBurn                   2   1   1   0   0   0   0   0   0   3   0   1   2
3002	WATER-Blast                        0   1   0   1   0   0   0   0   0   0   0   1   2
4001	LIGHTNING-Zapdo                    0   0   0   0   0   1   0   0   0   1   0   3   0
4002	LIGHTNING-Chain                    1   0   0   0   0   1   0   0   0   0   0   2   1
5001	FIGHT-Monkey                       3   1   0   0   0   0   0   0   0   0   0   1   5
5002	FIGHT-Wiggle                       0   2   0   1   0   0   0   0   0   0   2   1   4
5003	FIGHT-Bone                         1   1   2   0   0   0   0   0   0   1   0   0   0
6001	PSYCHIC-Nasi                       2   1   2   1   0   0   0   0   0   0   1   1   2
6002	PSYCHIC-Slowbro                    3   0   0   0   1   0   0   0   0   0   1   0   0
6003	PSYCHIC-Abra                       0   0   3   0   0   0   0   1   0   1   0   0   0
