Year,Month,Date,Hour,Minute,WinerID,LoserID,Result,WinnerWin,Draw,LoserWin,Before_Winner,Before_Loser,Delta,After_Winner,After_Loser
2020,11,4,2,42,1002,1001,5,1,0,0,2000.00,2000.00,10.50,2010.50,1989.50
2020,11,4,2,42,1002,1001,2,2,0,0,2010.50,1989.50,8.05,2018.55,1981.45
2020,11,4,2,42,1001,1002,2,1,0,2,1981.45,2018.55,8.60,1990.05,2009.95
2020,11,4,2,42,1001,1002,4,2,0,2,1990.05,2009.95,9.97,2000.03,1999.98
2020,11,4,2,42,1002,1001,5,3,0,2,1999.98,2000.03,10.50,2010.48,1989.53
2020,11,4,2,50,1001,6001,6,1,0,0,1989.53,1976.67,11.08,2000.61,1965.59
2020,11,4,2,50,1001,6001,5,2,0,0,2000.61,1965.59,10.08,2010.69,1955.51
2020,11,4,2,50,1001,6001,4,3,0,0,2010.69,1955.51,9.13,2019.82,1946.38
2020,11,4,2,50,1001,6001,3,4,0,0,2019.82,1946.38,8.24,2028.06,1938.14
2020,11,4,2,50,6001,1001,5,1,0,4,1938.14,2028.06,11.58,1949.73,2016.48
2020,11,4,2,51,2002,1001,4,1,0,0,1989.91,2016.48,10.05,1999.96,2006.43
2020,11,4,2,51,2002,1001,4,2,0,0,1999.96,2006.43,9.82,2009.79,1996.61
2020,11,4,2,51,2002,1001,4,3,0,0,2009.79,1996.61,9.60,2019.39,1987.01
2020,11,4,2,51,1001,2002,6,1,0,3,1987.01,2019.39,11.67,1998.68,2007.72
2020,11,4,2,51,2002,1001,6,4,0,1,2007.72,1998.68,11.13,2018.85,1987.54
2020,11,4,2,51,2002,1001,6,5,0,1,2018.85,1987.54,10.84,2029.70,1976.70
2020,11,6,0,20,1001,5001,6,1,0,0,1976.70,1907.68,10.36,1987.06,1897.32
2020,11,6,0,22,5001,1001,6,1,0,1,1897.32,1987.06,12.41,1909.73,1974.65
2020,11,6,0,22,5001,1001,6,2,0,1,1909.73,1974.65,12.09,1921.82,1962.56
2020,11,6,0,24,1001,5001,6,2,0,2,1962.56,1921.82,10.72,1973.29,1911.10
2020,11,6,0,25,5001,1001,6,3,0,2,1911.10,1973.29,12.05,1923.15,1961.23
2020,11,7,4,12,1001,2001,4,1,0,0,1961.23,2137.18,11.70,1972.93,2125.48
2020,11,7,4,16,2001,1001,5,1,0,1,2125.48,1972.93,8.67,2134.16,1964.26
2020,11,7,4,17,2001,1001,6,2,0,1,2134.16,1964.26,9.08,2143.24,1955.18
2020,11,7,4,18,2001,1001,5,3,0,1,2143.24,1955.18,8.26,2151.50,1946.92
2020,11,7,4,21,2001,1001,4,4,0,1,2151.50,1946.92,7.50,2158.99,1939.42
2020,11,7,4,50,3001,1001,3,1,0,0,2081.58,1939.42,7.54,2089.12,1931.88
2020,11,7,4,52,1001,3001,4,1,0,1,1931.88,2089.12,11.50,1943.38,2077.62
2020,11,8,3,18,1001,3001,5,2,0,1,1943.38,2077.62,12.11,1955.49,2065.51
2020,11,8,3,20,3001,1001,6,2,0,2,2065.51,1955.49,9.83,2075.35,1945.66
2020,11,8,3,22,1001,3001,6,3,0,2,1945.66,2075.35,12.92,1958.58,2062.43
2020,11,8,3,44,5002,1001,4,1,0,0,1910.85,1958.58,10.29,1921.14,1948.29
2020,11,8,3,44,5002,1001,6,2,0,0,1921.14,1948.29,11.60,1932.74,1936.69
2020,11,8,3,46,5002,1001,6,3,0,0,1932.74,1936.69,11.30,1944.04,1925.39
2020,11,8,3,49,5002,1001,5,4,0,0,1944.04,1925.39,10.27,1954.32,1915.11
2020,11,8,3,52,1001,5002,5,1,0,4,1915.11,1954.32,10.97,1926.09,1943.34
2020,11,13,1,10,3002,1001,5,1,0,0,2000.00,1926.09,9.61,2009.61,1916.48
2020,11,13,1,14,1001,3002,5,1,0,1,1916.48,2009.61,11.62,1928.10,1997.99
2020,11,13,1,15,3002,1001,6,2,0,1,1997.99,1928.10,10.35,2008.34,1917.75
2020,11,13,1,22,1001,3002,3,2,0,2,1917.75,2008.34,9.94,1927.69,1998.40
2020,11,13,1,24,3002,1001,6,3,0,2,1998.40,1927.69,10.34,2008.74,1917.35
2020,11,13,2,26,1001,5002,5,2,0,4,1917.35,1964.69,11.07,1928.43,1953.61
2020,11,13,2,28,5002,1001,4,5,0,2,1953.61,1928.43,9.47,1963.08,1918.96
2020,11,13,2,29,5002,1001,6,6,0,2,1963.08,1918.96,10.68,1973.76,1908.28
2020,11,13,2,32,1001,5002,3,3,0,6,1908.28,1973.76,9.68,1917.96,1964.09
2020,11,13,2,33,5002,1001,6,7,0,3,1964.09,1917.96,10.65,1974.74,1907.31
2020,11,13,3,1,1001,6001,4,5,0,1,1907.31,1810.02,8.66,1915.97,1801.36
2020,11,13,3,4,1001,6001,6,6,0,1,1915.97,1801.36,9.77,1925.74,1791.59
2020,11,13,3,4,6001,1001,6,2,0,6,1791.59,1925.74,12.97,1804.56,1912.77
2020,11,13,3,6,6001,1001,6,3,0,6,1804.56,1912.77,12.64,1817.21,1900.13
2020,11,13,3,9,6001,1001,4,4,0,6,1817.21,1900.13,10.68,1827.89,1889.45
2020,11,22,2,1,1001,1003,5,1,0,0,1889.45,1982.46,11.62,1901.07,1970.84
2020,11,22,2,6,1003,1001,4,1,0,1,1970.84,1901.07,8.97,1979.81,1892.10
2020,11,22,2,7,1001,1003,6,2,0,1,1892.10,1979.81,12.38,1904.48,1967.42
2020,11,22,2,11,1003,1001,4,2,0,2,1967.42,1904.48,9.04,1976.47,1895.44
2020,11,22,2,15,1001,1003,6,3,0,2,1895.44,1976.47,12.30,1907.74,1964.17
2020,11,23,0,21,1001,4002,6,1,0,0,1907.74,2004.07,12.49,1920.23,1991.57
2020,11,23,0,22,4002,1001,6,1,0,1,1991.57,1920.23,10.33,2001.90,1909.90
2020,11,23,0,26,1001,4002,1,2,0,1,1909.90,2001.90,8.29,1918.20,1993.61
2020,11,23,0,28,4002,1001,5,2,0,2,1993.61,1918.20,9.59,2003.20,1908.60
2020,11,23,0,30,4002,1001,5,3,0,2,2003.20,1908.60,9.36,2012.57,1899.24
2020,11,25,1,44,1001,5001,5,3,0,3,1899.24,1953.62,11.16,1910.40,1942.46
2020,11,25,1,46,1001,5001,6,4,0,3,1910.40,1942.46,11.67,1922.07,1930.80
2020,11,25,1,50,5001,1001,5,4,0,4,1930.80,1922.07,10.39,1941.19,1911.67
2020,11,25,1,50,5001,1001,6,5,0,4,1941.19,1911.67,10.87,1952.06,1900.80
2020,11,25,1,51,5001,1001,6,6,0,4,1952.06,1900.80,10.59,1962.65,1890.22
2020,11,26,23,30,1001,6002,2,1,0,0,1890.22,1955.22,8.87,1899.09,1946.35
2020,11,26,23,34,1001,6002,6,2,0,0,1899.09,1946.35,13.36,1912.45,1932.99
2020,11,26,23,36,6002,1001,4,1,0,2,1932.99,1912.45,9.52,1942.51,1902.93
2020,11,26,23,38,1001,6002,6,3,0,1,1902.93,1942.51,13.26,1916.19,1929.25
2020,11,26,23,39,1001,6002,6,4,0,1,1916.19,1929.25,12.92,1929.11,1916.33
2020,12,7,22,39,2002,1001,3,6,0,1,2147.30,1929.11,-7.09,2154.38,1922.03
2020,12,7,22,43,2002,1001,5,7,0,1,2154.38,1922.03,-8.56,2162.94,1913.47
2020,12,7,22,44,1001,2002,6,2,0,7,1913.47,2162.94,-15.60,1929.07,2147.35
2020,12,7,22,45,1001,2002,5,3,0,7,1929.07,2147.35,-13.88,1942.95,2133.46
2020,12,7,22,47,1001,2002,4,4,0,7,1942.95,2133.46,-12.35,1955.31,2121.11
