ID	6003
NAME	PSYCHIC-Abra
ELO	1865.956248
					  W6  W5  W4  W3  W2  W1   D  L1  L2  L3  L4  L5  L6
	Total				   4   6   6   3   2   1   0   4   3   4  11   9   7
1001	GRASS-DrainVenu                    0   0   0   1   0   1   0   0   0   0   3   0   0
1002	GRASS-GoldBok                      1   3   0   0   0   0   0   0   0   0   1   0   0
1003	GRASS-NidoKing                     1   1   0   0   0   0   0   1   1   0   0   1   0
2001	FIRE-Ninetail                      0   0   0   0   0   0   0   0   1   1   1   1   1
2002	FIRE-Charizard                     0   0   0   0   0   0   0   2   1   0   1   1   0
2003	FIRE-Windy                         0   0   0   0   0   0   0   1   0   1   1   2   0
3001	WATER-EnergyBurn                   1   0   0   0   1   0   0   0   0   0   2   1   0
3002	WATER-Blast                        0   0   0   0   0   0   0   0   0   0   0   0   0
4001	LIGHTNING-Zapdo                    0   0   5   0   0   0   0   0   0   0   0   0   0
4002	LIGHTNING-Chain                    1   0   0   0   0   0   0   0   0   0   0   1   3
5001	FIGHT-Monkey                       0   0   0   0   1   0   0   0   0   1   1   1   1
5002	FIGHT-Wiggle                       0   0   0   0   0   0   0   0   0   0   0   0   0
5003	FIGHT-Bone                         0   1   0   0   0   0   0   0   0   1   0   1   2
6001	PSYCHIC-Nasi                       0   0   0   0   0   0   0   0   0   0   0   0   0
6002	PSYCHIC-AntiCarry                  0   1   1   2   0   0   0   0   0   0   1   0   0
