ID	6002
NAME	PSYCHIC-Slowbro
ELO	1732.471504
					  W6  W5  W4  W3  W2  W1   D  L1  L2  L3  L4  L5  L6
	Total				   2   5   8   1   1   1   0   3   3  12   9  12  18
1001	GRASS-DrainVenu                    0   0   1   0   0   0   0   0   1   0   0   0   3
1002	GRASS-GoldBok                      0   1   0   0   0   0   0   0   0   0   2   0   2
1003	GRASS-NidoKing                     1   0   0   0   0   0   0   0   0   3   0   0   1
2001	FIRE-Ninetail                      0   1   0   0   0   0   0   0   0   0   1   1   2
2002	FIRE-Charizard                     0   0   0   0   0   1   0   0   0   0   3   0   1
2003	FIRE-Windy                         0   0   1   0   0   0   0   1   0   0   0   2   1
3001	WATER-EnergyBurn                   0   0   0   1   0   0   0   0   0   1   0   3   0
3002	WATER-Blast                        0   0   0   0   0   0   0   0   0   1   1   3   0
4001	LIGHTNING-Zapdo                    0   0   4   0   0   0   0   0   0   0   0   0   1
4002	LIGHTNING-Chain                    0   1   1   0   1   0   0   1   0   1   0   0   0
5001	FIGHT-Monkey                       0   1   0   0   0   0   0   1   0   1   0   0   2
5002	FIGHT-Wiggle                       0   0   0   0   0   0   0   0   1   0   0   2   2
5003	FIGHT-Bone                         0   0   0   0   0   0   0   0   0   1   1   0   3
6001	PSYCHIC-Nasi                       1   1   0   0   0   0   0   0   1   2   0   0   0
6003	PSYCHIC-Abra                       0   0   1   0   0   0   0   0   0   2   1   1   0
