ID	5002
NAME	FIGHT-Wiggle
ELO	1990.350231
					  W6  W5  W4  W3  W2  W1   D  L1  L2  L3  L4  L5  L6
	Total				  25  14   7   2   4   2   0   3   1   9  10  25   8
1001	GRASS-DrainVenu                    4   1   2   0   0   0   0   0   0   1   0   2   0
1002	GRASS-GoldBok                      0   1   0   0   0   0   0   1   0   1   2   3   2
1003	GRASS-NidoKing                     3   0   0   1   0   0   0   0   0   0   0   1   0
2001	FIRE-Ninetail                      1   0   0   0   0   0   0   1   0   5   0   2   1
2002	FIRE-Charizard                     1   1   1   0   0   0   0   0   0   0   4   2   1
2003	FIRE-Windy                         0   0   0   0   0   0   0   1   0   2   1   1   0
3001	WATER-EnergyBurn                   1   2   0   0   0   0   0   0   1   0   0   6   0
3002	WATER-Blast                        2   0   1   0   0   0   0   0   0   0   2   0   0
4001	LIGHTNING-Zapdo                    0   0   0   0   0   0   0   0   0   0   0   5   0
4002	LIGHTNING-Chain                    3   0   1   0   0   0   0   0   0   0   0   1   0
5001	FIGHT-Monkey                       4   2   0   1   0   0   0   0   0   0   0   1   2
5003	FIGHT-Bone                         3   1   0   0   0   0   0   0   0   0   0   0   1
6001	PSYCHIC-Nasi                       0   2   2   0   2   2   0   0   0   0   1   1   0
6002	PSYCHIC-Slowbro                    2   2   0   0   1   0   0   0   0   0   0   0   0
6003	PSYCHIC-Abra                       1   2   0   0   1   0   0   0   0   0   0   0   1
