ID	5001
NAME	FIGHT-Monkey
ELO	1765.229820
					  W6  W5  W4  W3  W2  W1   D  L1  L2  L3  L4  L5  L6
	Total				  20   8   2   2   2   2   0   1   4   9  15  25  20
1001	GRASS-DrainVenu                    5   1   0   0   0   0   0   0   0   0   0   1   3
1002	GRASS-GoldBok                      1   0   0   0   0   0   0   0   0   0   4   4   1
1003	GRASS-NidoKing                     2   1   0   0   0   0   0   0   0   0   1   0   1
2001	FIRE-Ninetail                      0   0   0   0   0   1   0   0   0   2   2   5   0
2002	FIRE-Charizard                     1   0   0   0   0   0   0   1   0   2   4   1   1
2003	FIRE-Windy                         0   0   0   0   0   0   0   0   0   1   1   3   0
3001	WATER-EnergyBurn                   1   0   0   0   0   0   0   0   1   1   2   3   2
3002	WATER-Blast                        1   0   0   0   0   0   0   0   1   0   0   1   2
4001	LIGHTNING-Zapdo                    0   0   0   0   0   0   0   0   0   1   1   2   1
4002	LIGHTNING-Chain                    0   1   1   0   1   0   0   0   0   0   0   1   1
5002	FIGHT-Wiggle                       2   1   0   0   0   0   0   0   0   1   0   2   4
5003	FIGHT-Bone                         2   0   0   0   0   0   0   0   0   1   0   0   2
6001	PSYCHIC-Nasi                       2   3   0   0   1   0   0   0   1   0   0   1   2
6002	PSYCHIC-AntiCarry                  2   0   0   1   0   1   0   0   0   0   0   1   0
6003	PSYCHIC-Abra                       1   1   1   1   0   0   0   0   1   0   0   0   0
