Year,Month,Date,Hour,Minute,WinerID,LoserID,Result,WinnerWin,Draw,LoserWin,Before_Winner,Before_Loser,Delta,After_Winner,After_Loser
2020,11,4,2,42,1002,1001,5,1,0,0,2000.00,2000.00,10.50,2010.50,1989.50
2020,11,4,2,42,1002,1001,2,2,0,0,2010.50,1989.50,8.05,2018.55,1981.45
2020,11,4,2,42,1001,1002,2,1,0,2,1981.45,2018.55,8.60,1990.05,2009.95
2020,11,4,2,42,1001,1002,4,2,0,2,1990.05,2009.95,9.97,2000.03,1999.98
2020,11,4,2,42,1002,1001,5,3,0,2,1999.98,2000.03,10.50,2010.48,1989.53
2020,11,4,2,50,2001,1002,6,1,0,0,2006.33,2010.48,11.30,2017.63,1999.17
2020,11,4,2,50,2001,1002,5,2,0,0,2017.63,1999.17,10.28,2027.91,1988.90
2020,11,4,2,50,2001,1002,3,3,0,0,2027.91,1988.90,8.60,2036.51,1980.30
2020,11,4,2,50,2001,1002,3,4,0,0,2036.51,1980.30,8.42,2044.92,1971.88
2020,11,4,2,50,2001,1002,6,5,0,0,2044.92,1971.88,10.31,2055.23,1961.58
2020,11,4,3,6,3001,1002,5,1,0,0,2051.07,1961.58,9.42,2060.50,1952.16
2020,11,4,3,8,1002,3001,5,1,0,1,1952.16,2060.50,11.80,1963.96,2048.69
2020,11,4,3,12,3001,1002,3,2,0,1,2048.69,1963.96,8.12,2056.82,1955.83
2020,11,4,3,15,1002,3001,6,2,0,2,1955.83,2056.82,12.55,1968.39,2044.27
2020,11,4,3,16,3001,1002,6,3,0,2,2044.27,1968.39,10.27,2054.54,1958.12
2020,11,6,2,8,1002,5002,5,1,0,0,1958.12,2000.14,11.01,1969.13,1989.13
2020,11,6,2,10,1002,5002,6,2,0,0,1969.13,1989.13,11.51,1980.64,1977.62
2020,11,6,2,13,1002,5002,5,3,0,0,1980.64,1977.62,10.46,1991.10,1967.16
2020,11,6,2,14,1002,5002,6,4,0,0,1991.10,1967.16,10.94,2002.04,1956.22
2020,11,6,2,21,1002,5002,3,5,0,0,2002.04,1956.22,8.53,2010.57,1947.69
2020,11,8,23,16,2002,1002,6,1,0,0,2056.96,2010.57,10.65,2067.61,1999.92
2020,11,8,23,23,1002,2002,3,1,0,1,1999.92,2067.61,9.70,2009.62,2057.91
2020,11,8,23,28,2002,1002,3,2,0,1,2057.91,2009.62,8.50,2066.41,2001.12
2020,11,8,23,31,2002,1002,5,3,0,1,2066.41,2001.12,9.71,2076.13,1991.41
2020,11,8,23,36,2002,1002,1,4,0,1,2076.13,1991.41,6.77,2082.90,1984.64
2020,11,9,1,35,1002,5001,5,1,0,0,1984.64,1933.94,9.89,1994.53,1924.05
2020,11,9,1,42,1002,5001,4,2,0,0,1994.53,1924.05,8.96,2003.49,1915.09
2020,11,9,1,42,5001,1002,6,1,0,2,1915.09,2003.49,12.39,1927.48,1991.10
2020,11,9,1,45,1002,5001,5,3,0,1,1991.10,1927.48,9.73,2000.83,1917.75
2020,11,9,1,48,1002,5001,4,4,0,1,2000.83,1917.75,8.82,2009.65,1908.93
2020,11,10,1,43,1002,6001,5,1,0,0,2009.65,1856.51,8.67,2018.32,1847.84
2020,11,10,1,45,6001,1002,5,1,0,1,1847.84,2018.32,12.53,1860.38,2005.78
2020,11,10,1,47,6001,1002,5,2,0,1,1860.38,2005.78,12.24,1872.62,1993.54
2020,11,10,1,49,1002,6001,5,2,0,2,1993.54,1872.62,9.05,2002.59,1863.57
2020,11,10,1,54,6001,1002,4,3,0,2,1863.57,2002.59,11.30,1874.87,1991.29
2020,11,14,16,12,2001,1002,5,6,0,0,2193.13,1991.29,8.10,2201.24,1983.19
2020,11,14,16,18,2001,1002,1,7,0,0,2201.24,1983.19,5.66,2206.90,1977.54
2020,11,14,16,25,2001,1002,1,8,0,0,2206.90,1977.54,5.56,2212.46,1971.97
2020,11,14,16,30,2001,1002,3,9,0,0,2212.46,1971.97,6.57,2219.03,1965.40
2020,11,14,16,34,2001,1002,5,10,0,0,2219.03,1965.40,7.52,2226.55,1957.88
2020,11,14,17,16,2003,1002,4,1,0,0,2045.25,1957.88,8.77,2054.03,1949.11
2020,11,14,17,19,2003,1002,5,2,0,0,2054.03,1949.11,9.24,2063.27,1939.87
2020,11,14,17,22,2003,1002,4,3,0,0,2063.27,1939.87,8.37,2071.64,1931.50
2020,11,14,17,25,2003,1002,4,4,0,0,2071.64,1931.50,8.19,2079.83,1923.31
2020,11,14,17,28,2003,1002,4,5,0,0,2079.83,1923.31,8.01,2087.84,1915.30
2020,11,14,18,8,6003,1002,5,1,0,0,1922.11,1915.30,10.42,1932.53,1904.88
2020,11,14,18,11,6003,1002,5,2,0,0,1932.53,1904.88,10.17,1942.70,1894.71
2020,11,14,18,13,6003,1002,6,3,0,0,1942.70,1894.71,10.63,1953.33,1884.08
2020,11,14,18,18,1002,6003,4,1,0,3,1884.08,1953.33,10.53,1894.61,1942.80
2020,11,14,18,21,6003,1002,5,4,0,1,1942.80,1894.61,9.92,1952.72,1884.69
2020,11,27,2,37,2002,1002,2,5,0,1,2104.22,1884.69,6.21,2110.43,1878.48
2020,11,27,2,41,2002,1002,3,6,0,1,2110.43,1878.48,6.65,2117.08,1871.83
2020,11,27,2,45,2002,1002,4,7,0,1,2117.08,1871.83,7.07,2124.15,1864.76
2020,11,27,2,47,2002,1002,5,8,0,1,2124.15,1864.76,8.45,2132.61,1856.31
2020,11,27,2,48,2002,1002,6,9,0,1,2132.61,1856.31,9.29,2141.90,1847.02
2020,11,27,2,51,1002,3001,4,3,0,3,1847.02,2083.32,12.34,1859.36,2070.98
2020,11,27,2,54,3001,1002,5,4,0,3,2070.98,1859.36,8.99,2079.97,1850.37
2020,11,27,2,57,3001,1002,6,5,0,3,2079.97,1850.37,9.84,2089.82,1840.53
2020,11,27,2,59,3001,1002,4,6,0,3,2089.82,1840.53,7.03,2096.85,1833.50
2020,11,27,3,1,3001,1002,6,7,0,3,2096.85,1833.50,9.44,2106.29,1824.06
2020,11,27,3,4,4001,1002,4,1,0,0,2075.49,1824.06,7.00,2082.50,1817.06
2020,11,27,3,6,4001,1002,5,2,0,0,2082.50,1817.06,8.39,2090.89,1808.67
2020,11,27,3,7,4001,1002,5,3,0,0,2090.89,1808.67,8.20,2099.09,1800.47
2020,11,27,3,8,4001,1002,5,4,0,0,2099.09,1800.47,8.03,2107.12,1792.44
2020,11,27,3,12,4001,1002,2,5,0,0,2107.12,1792.44,5.39,2112.50,1787.06
2020,11,27,3,16,1002,5003,6,1,0,0,1787.06,1913.08,14.37,1801.43,1898.71
2020,11,27,3,17,1002,5003,6,2,0,0,1801.43,1898.71,14.00,1815.43,1884.70
2020,11,27,3,22,1002,5003,1,3,0,0,1815.43,1884.70,8.10,1823.53,1876.61
2020,11,27,3,23,1002,5003,6,4,0,0,1823.53,1876.61,13.44,1836.97,1863.17
2020,11,27,3,23,1002,5003,6,5,0,0,1836.97,1863.17,13.09,1850.06,1850.08
2020,12,1,21,54,1002,1003,3,1,0,0,1850.06,1909.11,9.91,1859.97,1899.19
2020,12,1,21,57,1003,1002,4,1,0,1,1899.19,1859.97,9.81,1909.01,1850.16
2020,12,1,22,1,1003,1002,4,2,0,1,1909.01,1850.16,9.59,1918.60,1840.57
2020,12,1,22,4,1003,1002,5,3,0,1,1918.60,1840.57,10.36,1928.96,1830.21
2020,12,1,22,9,1003,1002,2,4,0,1,1928.96,1830.21,7.52,1936.47,1822.69
2020,12,5,14,16,4002,1002,3,1,0,0,1979.69,1822.69,7.69,1987.38,1815.00
