Year,Month,Date,Hour,Minute,WinerID,LoserID,Result,WinnerWin,Draw,LoserWin,Before_Winner,Before_Loser,Delta,After_Winner,After_Loser
2019,11,28,0,40,3001,3002,2,1,0,0,2000.00,2000.00,8.00,2008.00,1992.00
2019,11,28,0,46,3002,3001,5,1,0,1,1992.00,2008.00,9.67,2001.68,1998.33
2019,11,28,0,48,3001,3002,6,2,0,1,1998.33,2001.68,10.04,2008.37,1991.64
2019,11,28,0,53,3002,3001,4,2,0,2,1991.64,2008.37,9.17,2000.81,1999.19
2019,11,28,0,55,3002,3001,5,3,0,2,2000.81,1999.19,9.48,2010.30,1989.71
2019,11,28,0,59,2001,3002,6,1,0,0,2035.70,2010.30,9.71,2045.41,2000.59
2019,11,28,1,2,2001,3002,5,2,0,0,2045.41,2000.59,9.01,2054.42,1991.58
2019,11,28,1,13,3002,2001,2,1,0,2,1991.58,2054.42,8.58,2000.16,2045.85
2019,11,28,1,14,2001,3002,6,3,0,1,2045.85,2000.16,9.47,2055.32,1990.68
2019,11,28,1,16,3002,2001,5,2,0,3,1990.68,2055.32,10.21,2000.89,2045.12
2019,11,28,21,42,3002,2002,6,1,0,0,2000.89,2063.18,10.72,2011.61,2052.46
2019,11,28,21,46,2002,3002,4,1,0,1,2052.46,2011.61,8.58,2061.04,2003.03
2019,11,28,21,50,2002,3002,4,2,0,1,2061.04,2003.03,8.40,2069.44,1994.63
2019,11,28,21,55,3002,2002,4,2,0,2,1994.63,2069.44,9.77,2004.40,2059.67
2019,11,28,21,56,3002,2002,5,3,0,2,2004.40,2059.67,10.10,2014.51,2049.56
2019,11,28,21,59,1001,3002,6,1,0,0,1909.81,2014.51,11.20,1921.01,2003.31
2019,11,28,22,2,3002,1001,6,1,0,1,2003.31,1921.01,9.06,2012.36,1911.95
2019,11,28,22,5,3002,1001,4,2,0,1,2012.36,1911.95,7.96,2020.33,1903.99
2019,11,28,22,11,3002,1001,3,3,0,1,2020.33,1903.99,7.37,2027.70,1896.62
2020,11,13,1,10,3002,1001,5,1,0,0,2000.00,1926.09,9.61,2009.61,1916.48
2020,11,13,1,14,1001,3002,5,1,0,1,1916.48,2009.61,11.62,1928.10,1997.99
2020,11,13,1,15,3002,1001,6,2,0,1,1997.99,1928.10,10.35,2008.34,1917.75
2020,11,13,1,22,1001,3002,3,2,0,2,1917.75,2008.34,9.94,1927.69,1998.40
2020,11,13,1,24,3002,1001,6,3,0,2,1998.40,1927.69,10.34,2008.74,1917.35
2020,11,13,2,41,3002,6001,5,1,0,0,2008.74,1853.53,8.64,2017.38,1844.89
2020,11,13,2,45,3002,6001,6,2,0,0,2017.38,1844.89,9.04,2026.43,1835.84
2020,11,13,2,47,3002,6001,6,3,0,0,2026.43,1835.84,8.82,2035.25,1827.02
2020,11,13,2,53,3002,6001,6,4,0,0,2035.25,1827.02,8.60,2043.85,1818.42
2020,11,13,2,57,3002,6001,6,5,0,0,2043.85,1818.42,8.39,2052.25,1810.02
2020,11,13,3,11,5002,3002,6,1,0,0,1974.74,2052.25,12.25,1986.99,2040.00
2020,11,13,3,12,5002,3002,6,2,0,0,1986.99,2040.00,11.94,1998.93,2028.06
2020,11,13,3,15,3002,5002,4,1,0,2,2028.06,1998.93,9.42,2037.49,1989.51
2020,11,13,3,17,5002,3002,4,3,0,1,1989.51,2037.49,10.29,1999.79,2027.20
2020,11,13,3,19,3002,5002,4,2,0,3,2027.20,1999.79,9.44,2036.64,1990.35
2020,11,22,2,24,1003,3002,5,1,0,0,1964.17,2036.64,11.37,1975.55,2025.27
2020,11,22,2,28,3002,1003,5,1,0,1,2025.27,1975.55,9.90,2035.17,1965.65
2020,11,22,2,33,1003,3002,2,2,0,1,1965.65,2035.17,8.91,1974.56,2026.26
2020,11,22,2,35,3002,1003,6,2,0,2,2026.26,1974.56,10.58,2036.84,1963.98
2020,11,22,2,38,3002,1003,4,3,0,2,2036.84,1963.98,8.93,2045.78,1955.04
2020,11,23,0,32,4002,3002,6,1,0,0,2012.57,2045.78,11.68,2024.25,2034.10
2020,11,23,0,33,3002,4002,5,1,0,1,2034.10,2024.25,10.38,2044.48,2013.87
2020,11,23,0,35,3002,4002,6,2,0,1,2044.48,2013.87,10.85,2055.33,2003.01
2020,11,23,0,36,4002,3002,6,2,0,2,2003.01,2055.33,11.93,2014.94,2043.41
2020,11,23,0,39,3002,4002,6,3,0,2,2043.41,2014.94,10.88,2054.29,2004.06
2020,11,25,1,56,3002,5001,5,1,0,0,2054.29,1962.65,9.40,2063.69,1953.25
2020,11,25,1,58,3002,5001,6,2,0,0,2063.69,1953.25,9.83,2073.51,1943.42
2020,11,25,2,4,3002,5001,2,3,0,0,2073.51,1943.42,7.02,2080.54,1936.40
2020,11,25,2,7,5001,3002,6,1,0,3,1936.40,2080.54,13.10,1949.50,2067.44
2020,11,25,2,10,3002,5001,6,4,0,1,2067.44,1949.50,9.73,2077.17,1939.77
2020,11,26,23,49,3002,6002,3,1,0,0,2077.17,1916.33,7.35,2084.52,1908.98
2020,11,26,23,57,3002,6002,5,2,0,0,2084.52,1908.98,9.41,2093.93,1899.57
2020,11,27,0,0,3002,6002,5,3,0,0,2093.93,1899.57,9.19,2103.12,1890.38
2020,11,27,0,5,3002,6002,4,4,0,0,2103.12,1890.38,7.41,2110.53,1882.97
2020,11,27,0,8,3002,6002,5,5,0,0,2110.53,1882.97,8.81,2119.34,1874.16
