ID	2001
NAME	FIRE-Ninetail
ELO	2383.117394
					  W6  W5  W4  W3  W2  W1   D  L1  L2  L3  L4  L5  L6
	Total				  16  31  14  10   3   8   0   1   2   1   5   6   3
1001	GRASS-DrainVenu                    4   3   1   0   0   0   0   0   0   0   1   1   0
1002	GRASS-GoldBok                      2   3   0   3   0   2   0   0   0   0   0   0   0
1003	GRASS-NidoKing                     1   1   1   0   1   1   0   0   0   0   0   0   0
2002	FIRE-Charizard                     1   0   3   0   0   3   0   0   0   0   3   0   0
2003	FIRE-Windy                         0   2   0   0   0   0   0   0   1   0   1   0   1
3001	WATER-EnergyBurn                   2   1   1   1   0   1   0   0   0   1   0   2   1
3002	WATER-Blast                        0   1   1   0   0   1   0   0   1   0   0   1   0
4001	LIGHTNING-Zapdo                    1   1   1   0   1   0   0   0   0   0   0   1   0
4002	LIGHTNING-Chain                    1   3   1   0   0   0   0   0   0   0   0   0   0
5001	FIGHT-Monkey                       0   5   2   2   0   0   0   1   0   0   0   0   0
5002	FIGHT-Wiggle                       0   2   0   2   0   0   0   0   0   0   0   0   1
5003	FIGHT-Bone                         1   3   0   1   0   0   0   0   0   0   0   0   0
6001	PSYCHIC-Nasi                       0   4   1   0   0   0   0   0   0   0   0   0   0
6002	PSYCHIC-AntiCarry                  2   1   1   0   0   0   0   0   0   0   0   1   0
6003	PSYCHIC-Abra                       1   1   1   1   1   0   0   0   0   0   0   0   0
