Year,Month,Date,Hour,Minute,WinerID,LoserID,Result,WinnerWin,Draw,LoserWin,Before_Winner,Before_Loser,Delta,After_Winner,After_Loser
2020,11,4,2,49,2001,2002,4,1,0,0,2000.00,2000.00,9.75,2009.75,1990.25
2020,11,4,2,49,2001,2002,4,2,0,0,2009.75,1990.25,9.53,2019.28,1980.72
2020,11,4,2,49,2002,2001,4,1,0,2,1980.72,2019.28,10.18,1990.90,2009.10
2020,11,4,2,49,2001,2002,1,3,0,1,2009.10,1990.90,7.34,2016.44,1983.56
2020,11,4,2,49,2002,2001,4,2,0,3,1983.56,2016.44,10.12,1993.68,2006.33
2020,11,4,2,50,2001,1002,6,1,0,0,2006.33,2010.48,11.30,2017.63,1999.17
2020,11,4,2,50,2001,1002,5,2,0,0,2017.63,1999.17,10.28,2027.91,1988.90
2020,11,4,2,50,2001,1002,3,3,0,0,2027.91,1988.90,8.60,2036.51,1980.30
2020,11,4,2,50,2001,1002,3,4,0,0,2036.51,1980.30,8.42,2044.92,1971.88
2020,11,4,2,50,2001,1002,6,5,0,0,2044.92,1971.88,10.31,2055.23,1961.58
2020,11,5,0,32,2001,5001,5,1,0,0,2055.23,1948.64,9.22,2064.45,1939.42
2020,11,5,0,37,2001,5001,4,2,0,0,2064.45,1939.42,8.36,2072.81,1931.07
2020,11,5,0,40,2001,5001,3,3,0,0,2072.81,1931.07,7.54,2080.35,1923.52
2020,11,5,0,44,2001,5001,3,4,0,0,2080.35,1923.52,7.39,2087.75,1916.13
2020,11,5,0,47,2001,5001,5,5,0,0,2087.75,1916.13,8.45,2096.20,1907.68
2020,11,6,2,22,2001,6001,5,1,0,0,2096.20,1946.09,8.70,2104.90,1937.38
2020,11,6,2,22,2001,6001,5,2,0,0,2104.90,1937.38,8.50,2113.40,1928.89
2020,11,6,2,22,2001,6001,5,3,0,0,2113.40,1928.89,8.30,2121.71,1920.58
2020,11,6,2,22,2001,6001,5,4,0,0,2121.71,1920.58,8.11,2129.82,1912.47
2020,11,6,2,22,2001,6001,4,5,0,0,2129.82,1912.47,7.36,2137.18,1905.11
2020,11,7,4,12,1001,2001,4,1,0,0,1961.23,2137.18,11.70,1972.93,2125.48
2020,11,7,4,16,2001,1001,5,1,0,1,2125.48,1972.93,8.67,2134.16,1964.26
2020,11,7,4,17,2001,1001,6,2,0,1,2134.16,1964.26,9.08,2143.24,1955.18
2020,11,7,4,18,2001,1001,5,3,0,1,2143.24,1955.18,8.26,2151.50,1946.92
2020,11,7,4,21,2001,1001,4,4,0,1,2151.50,1946.92,7.50,2158.99,1939.42
2020,11,8,3,29,2001,5002,3,1,0,0,2158.99,1924.30,6.63,2165.62,1917.68
2020,11,8,3,31,2001,5002,5,2,0,0,2165.62,1917.68,7.58,2173.20,1910.09
2020,11,8,3,35,2001,5002,3,3,0,0,2173.20,1910.09,6.35,2179.56,1903.74
2020,11,8,3,36,5002,2001,6,1,0,3,1903.74,2179.56,14.71,1918.45,2164.85
2020,11,8,3,38,2001,5002,5,4,0,1,2164.85,1918.45,7.60,2172.45,1910.85
2020,11,8,3,57,2001,3001,3,1,0,0,2172.45,2062.43,7.87,2180.32,2054.56
2020,11,8,4,1,2001,3001,6,2,0,0,2180.32,2054.56,9.63,2189.95,2044.93
2020,11,8,4,4,2001,3001,5,3,0,0,2189.95,2044.93,8.76,2198.72,2036.17
2020,11,8,4,7,2001,3001,4,4,0,0,2198.72,2036.17,7.95,2206.66,2028.22
2020,11,8,4,9,3001,2001,6,1,0,4,2028.22,2206.66,13.53,2041.75,2193.13
2020,11,14,16,12,2001,1002,5,6,0,0,2193.13,1991.29,8.10,2201.24,1983.19
2020,11,14,16,18,2001,1002,1,7,0,0,2201.24,1983.19,5.66,2206.90,1977.54
2020,11,14,16,25,2001,1002,1,8,0,0,2206.90,1977.54,5.56,2212.46,1971.97
2020,11,14,16,30,2001,1002,3,9,0,0,2212.46,1971.97,6.57,2219.03,1965.40
2020,11,14,16,34,2001,1002,5,10,0,0,2219.03,1965.40,7.52,2226.55,1957.88
2020,11,14,17,38,2001,6003,4,1,0,0,2226.55,1954.75,6.79,2233.35,1947.96
2020,11,14,17,41,2001,6003,6,2,0,0,2233.35,1947.96,7.68,2241.03,1940.28
2020,11,14,17,53,2001,6003,2,3,0,0,2241.03,1940.28,5.50,2246.53,1934.77
2020,11,14,17,59,2001,6003,5,4,0,0,2246.53,1934.77,6.89,2253.42,1927.89
2020,11,14,18,5,2001,6003,3,5,0,0,2253.42,1927.89,5.78,2259.20,1922.11
2020,11,14,18,29,2003,2001,2,1,0,0,2087.84,2259.20,9.86,2097.70,2249.34
2020,11,14,18,32,2003,2001,4,2,0,0,2097.70,2249.34,11.44,2109.14,2237.90
2020,11,14,18,34,2001,2003,5,1,0,2,2237.90,2109.14,8.95,2246.86,2100.18
2020,11,14,18,36,2001,2003,5,2,0,2,2246.86,2100.18,8.74,2255.60,2091.44
