ID	4002
NAME	LIGHTNING-Chain
ELO	1911.199573
					  W6  W5  W4  W3  W2  W1   D  L1  L2  L3  L4  L5  L6
	Total				  12  14   0   3   0   2   0   1   4   4   8  11  16
1001	GRASS-DrainVenu                    1   2   0   0   0   0   0   1   0   0   0   0   1
1002	GRASS-GoldBok                      0   0   0   2   0   1   0   0   0   2   0   0   0
1003	GRASS-NidoKing                     0   4   0   0   0   0   0   0   0   0   0   0   1
2001	FIRE-Ninetail                      0   0   0   0   0   0   0   0   0   0   1   3   1
2002	FIRE-Charizard                     0   0   0   0   0   0   0   0   0   0   1   2   2
2003	FIRE-Windy                         0   0   0   0   0   0   0   0   1   2   1   1   0
3001	WATER-EnergyBurn                   1   2   0   0   0   0   0   0   0   0   1   0   1
3002	WATER-Blast                        2   0   0   0   0   0   0   0   0   0   0   1   2
4001	LIGHTNING-Zapdo                    1   0   0   0   0   0   0   0   0   0   1   1   2
5001	FIGHT-Monkey                       1   1   0   0   0   0   0   0   1   0   1   1   0
5002	FIGHT-Wiggle                       0   1   0   0   0   0   0   0   0   0   1   0   3
5003	FIGHT-Bone                         2   1   0   0   0   0   0   0   0   0   0   0   2
6001	PSYCHIC-Nasi                       1   2   0   0   0   0   0   0   1   0   0   1   0
6002	PSYCHIC-Slowbro                    0   0   0   1   0   1   0   0   1   0   1   1   0
6003	PSYCHIC-Abra                       3   1   0   0   0   0   0   0   0   0   0   0   1
